matlab function,julia function,matlab on,julia on,mat on else,ju on else,matlab sample,julia sample,matlab tips,julia tips
isempty,isempty,array,array,number return logical 0,number return false,isempty(M),isempty(M),,
ones,ones,array,array,one input return size n*n ,,"ones(m,n) & ones(n)","ones({type},m,n)  & ones({type},n)  &  ones(n)",,
zeros,zeros,array,array,one input return size n*n ,,"zeros(m,n)  & zeros(n)","zeros({type},m,n)  & zeros({type},n)  &  zeros(n)",,
any,any,array or number,array or number,any !=0 return logical 1,,,,,boolean only
all,all,array or number,array or number,all !=0 return logical 1,,,,,boolean only
isnan,isnan,array or number or str,number only,if str it seems no meaning,NaN should type correctly and belong to some basic data type,,,,
isa,isa,number,number,,,,,,
isequal,isequal,variable or array,variable or array,,"isequal(-0.0,0.0) return false",,,,
isnumeric,isnumeric,variable or array,variable only,,isnumeric('௰')  return true,,,,
length,length,,,,,"A=rand(2,3);length(A) return 3","A=rand(2,3);length(A) return 6",,
char()abs(),Char()Int(),sting,characters,,"Bigger leter,single sting in '  '",,,,
isfinite,isfinite,variable or array,variable only,,,,,,
isinf,isinf,variable or array,variable only,,Inf,,,,
real()imag(),real()imag(),complex number,complex number,image as i or j,image as im,,,,
num2str,string,,,,more powful and use,,,,
isletter,isletter,variable or array,characters,,,,,,
isspace,isspace,,characters,,,,,,
logical,BitArray ,array,array,,,,,,
 true,trues,array,array,,,,,,
 flase,falses,array,array,,,,,,
ndims,ndims,array,array,,,,,,
str2num/str2double,parse,string or array,string ,,more powful and use,"str2num(['1','2']) return 12",,,
abs,abs,variable or array,variable only,,,,,,
reshape,reshape,array,array,,,"reshape(A,[5,7])","reshape(A,(5,7))",,
find,findall,array,bitarray only,,,,,,
find,findfirst,array,bitarray only,,,,,,
find,findlast,array,bitarray only,,can use some is function to produce common array,,"findlast(isodd, A)",,
rand,rand,array,array,,"rand({T},n) can rand a Int array",,"rand(Bool,2)",,
repmat,repeat,array,array,,,,,,
maxk,partialsortperm,array,array,,,,"partialsortperm(A,1:3,rev=true）",,
mink,partialsortperm,array,array,,,,"partialsortperm(A,1:3)",,
max,maximum,array,array,,,,,,
min,minimum,array,array,,,,,,
sort,sort,array,array,,,,,,
randperm,randperm,,,,should using Random,,,,
 =[],deleteat!,array,array,,left no need the array itself,,"deleteat!(A,3:5)",,
reverse,reverse.,string or string array,array,,,,,,
flip,reverse,string or  array,string or array,,,,,,
